taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1549068	Dohrniphora ventralis Borgmeier & Prado, 1975	1549068	Dohrniphora ventralis Borgmeier & Prado, 1975	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502	Dohrniphora	1548850	Dohrniphora ventralis	1549068	NE
1557577	Mycodrosophila projectans (Sturtevant, 1916)	1557577	Mycodrosophila projectans (Sturtevant, 1916)	17	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Drosophilidae	5547	Mycodrosophila	1557482	Mycodrosophila projectans	1557577	NE
2023331	Ceresa fasciatithorax Remes-Lenicov, 1973	2023331	Ceresa fasciatithorax Remes-Lenicov, 1973	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Membracidae	7889	Ceresa	2023299	Ceresa fasciatithorax	2023331	NE
2343342	Tridensimilis brevis (Eigenmann & Eigenmann, 1889)	2343342	Tridensimilis brevis (Eigenmann & Eigenmann, 1889)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Siluriformes	708	Trichomycteridae	9230	Tridensimilis	2343340	Tridensimilis brevis	2343342	NE
2344062	Nemadoras trimaculatus (Boulenger, 1898)	7946576	Tenellus trimaculatus (Boulenger, 1898)	83	SPECIES	SYNONYM	Animalia	1	Chordata	44			Siluriformes	708	Doradidae	5150	Tenellus	7673059	Tenellus trimaculatus	7946576	NE
2354899	Hemiodus thayeria Böhlke, 1955	2354899	Hemiodus thayeria Böhlke, 1955	31	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Characiformes	537	Hemiodontidae	7329	Hemiodus	2354862	Hemiodus thayeria	2354899	NE
2355737	Gasteropelecus sternicla (Linnaeus, 1758)	2355737	Gasteropelecus sternicla (Linnaeus, 1758)	113	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Characiformes	537	Gasteropelecidae	2980	Gasteropelecus	2355732	Gasteropelecus sternicla	2355737	NE
2371287	Apistogramma eunotus Kullander, 1981	2371287	Apistogramma eunotus Kullander, 1981	75	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Cichlidae	8522	Apistogramma	2371221	Apistogramma eunotus	2371287	NE
2401845	Sternarchorhynchus curvirostris (Boulenger, 1887)	2401845	Sternarchorhynchus curvirostris (Boulenger, 1887)	35	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Gymnotiformes	1165	Apteronotidae	3711	Sternarchorhynchus	2401838	Sternarchorhynchus curvirostris	2401845	DD
2479980	Gypopsitta vulturina (Kuhl, 1820)	2479979	Pionopsitta vulturina (Kuhl, 1820)	7	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Pionopsitta	2479978	Pionopsitta vulturina	2479979	LC
